Date,Open,High,Low,Close,Volume,Volume(BAT),Market Cap
2024-08-31,0.1652,0.1659,0.161,0.1637,5400000.0,33146598,244900000.0
2024-08-30,0.1651,0.1673,0.1592,0.1656,8400000.0,51006750,245900000.0
2024-08-29,0.1644,0.1695,0.1622,0.1651,7600000.0,45993558,248200000.0
2024-08-28,0.1694,0.1749,0.1631,0.1646,9700000.0,57370894,252400000.0
2024-08-27,0.1782,0.1801,0.168,0.1693,8400000.0,47307996,264300000.0
2024-08-26,0.1876,0.1881,0.1771,0.1781,8300000.000000001,45703524,273100000.0
2024-08-25,0.1903,0.191,0.183,0.1875,7000000.0,37637187,279800000.0
2024-08-24,0.1866,0.1931,0.1847,0.1901,9700000.0,51151912,282500000.0
2024-08-23,0.1773,0.1877,0.1766,0.1865,10200000.0,56144232,270400000.0
2024-08-22,0.1759,0.1812,0.1744,0.1775,15000000.0,84947515,263800000.0
2024-08-21,0.1709,0.1782,0.1693,0.1759,11300000.0,65120970,260100000.00000003
2024-08-20,0.1687,0.1714,0.1668,0.171,7600000.0,44643493,253600000.0
2024-08-19,0.1641,0.1686,0.1608,0.1686,8400000.0,51017860,246400000.0
2024-08-18,0.1634,0.1676,0.161,0.1642,6100000.0,36850089,245600000.0
2024-08-17,0.1601,0.1635,0.1593,0.1631,6600000.0,40926117,241600000.0
2024-08-16,0.1611,0.1631,0.1563,0.16,8300000.000000001,52082559,239500000.0
2024-08-15,0.166,0.1676,0.1596,0.1614,9100000.0,55694344,245500000.0
2024-08-14,0.1681,0.169,0.164,0.1659,8700000.0,52253979,249400000.0
2024-08-13,0.1636,0.1706,0.1594,0.1681,10700000.0,64783860,246300000.0
2024-08-12,0.1583,0.1676,0.1583,0.1637,10700000.0,65841819,243300000.0
2024-08-11,0.168,0.169,0.1583,0.1585,9300000.0,56658230,246200000.0
2024-08-10,0.1668,0.1685,0.1637,0.168,7500000.0,45361305,248000000.0
2024-08-09,0.1678,0.1678,0.1626,0.1666,11600000.0,70368171,246500000.0
2024-08-08,0.1545,0.1682,0.1517,0.168,12200000.0,74926603,242800000.0
2024-08-07,0.1567,0.1588,0.1515,0.1543,13400000.0,86467246,231100000.0
2024-08-06,0.1526,0.1608,0.1526,0.1563,19600000.0,124308387,235600000.0
2024-08-05,0.1576,0.1586,0.133,0.1526,41100000.0,277675343,220500000.0
2024-08-04,0.166,0.1676,0.1531,0.1578,13400000.0,82038589,242800000.0
2024-08-03,0.1704,0.1734,0.1644,0.166,12000000.0,70804589,253000000.0
2024-08-02,0.1851,0.1852,0.1699,0.1703,14100000.0,79399101,264000000.0
2024-08-01,0.1938,0.195,0.1746,0.1854,13700000.0,73846125,277400000.0
2024-07-31,0.1926,0.198,0.1919,0.1936,9300000.0,47798087,290800000.0
2024-07-30,0.1922,0.1964,0.1906,0.1928,9600000.0,49384279,289200000.0
2024-07-29,0.1967,0.1996,0.1919,0.1922,15800000.0,80617795,292700000.0
2024-07-28,0.1982,0.1989,0.1942,0.1967,9400000.0,47674399,293200000.0
2024-07-27,0.193,0.1989,0.1921,0.1982,10500000.0,53877796,290500000.0
2024-07-26,0.1838,0.1931,0.1831,0.1931,11000000.0,58118853,280900000.0
2024-07-25,0.1921,0.1934,0.1792,0.1839,21500000.0,115973112,275900000.0
2024-07-24,0.1919,0.2067,0.1909,0.1923,31100000.0,159492032,290700000.0
2024-07-23,0.1942,0.1978,0.1897,0.1921,19300000.0,99570419,289500000.0
2024-07-22,0.2056,0.206,0.1941,0.1941,205300000.0,1034367870,295800000.0
2024-07-21,0.1992,0.2061,0.1962,0.2052,22200000.0,110234231,299800000.0
2024-07-20,0.2021,0.2025,0.1981,0.199,14600000.0,72686057,298600000.0
2024-07-19,0.1887,0.2022,0.187,0.2019,47100000.0,242819858,289300000.0
