Date,Open,High,Low,Close,Volume,Volume(BAT),Market Cap
08/31/2024,$0.1652,$0.1659,$0.1610,$0.1637,$5.4 m,33146598,$244.9 m
08/30/2024,$0.1651,$0.1673,$0.1592,$0.1656,$8.4 m,51006750,$245.9 m
08/29/2024,$0.1644,$0.1695,$0.1622,$0.1651,$7.6 m,45993558,$248.2 m
08/28/2024,$0.1694,$0.1749,$0.1631,$0.1646,$9.7 m,57370894,$252.4 m
08/27/2024,$0.1782,$0.1801,$0.1680,$0.1693,$8.4 m,47307996,$264.3 m
08/26/2024,$0.1876,$0.1881,$0.1771,$0.1781,$8.3 m,45703524,$273.1 m
08/25/2024,$0.1903,$0.1910,$0.1830,$0.1875,$7 m,37637187,$279.8 m
08/24/2024,$0.1866,$0.1931,$0.1847,$0.1901,$9.7 m,51151912,$282.5 m
08/23/2024,$0.1773,$0.1877,$0.1766,$0.1865,$10.2 m,56144232,$270.4 m
08/22/2024,$0.1759,$0.1812,$0.1744,$0.1775,$15 m,84947515,$263.8 m
08/21/2024,$0.1709,$0.1782,$0.1693,$0.1759,$11.3 m,65120970,$260.1 m
08/20/2024,$0.1687,$0.1714,$0.1668,$0.1710,$7.6 m,44643493,$253.6 m
08/19/2024,$0.1641,$0.1686,$0.1608,$0.1686,$8.4 m,51017860,$246.4 m
08/18/2024,$0.1634,$0.1676,$0.1610,$0.1642,$6.1 m,36850089,$245.6 m
08/17/2024,$0.1601,$0.1635,$0.1593,$0.1631,$6.6 m,40926117,$241.6 m
08/16/2024,$0.1611,$0.1631,$0.1563,$0.1600,$8.3 m,52082559,$239.5 m
08/15/2024,$0.1660,$0.1676,$0.1596,$0.1614,$9.1 m,55694344,$245.5 m
08/14/2024,$0.1681,$0.1690,$0.1640,$0.1659,$8.7 m,52253979,$249.4 m
08/13/2024,$0.1636,$0.1706,$0.1594,$0.1681,$10.7 m,64783860,$246.3 m
08/12/2024,$0.1583,$0.1676,$0.1583,$0.1637,$10.7 m,65841819,$243.3 m
08/11/2024,$0.1680,$0.1690,$0.1583,$0.1585,$9.3 m,56658230,$246.2 m
08/10/2024,$0.1668,$0.1685,$0.1637,$0.1680,$7.5 m,45361305,$248 m
08/09/2024,$0.1678,$0.1678,$0.1626,$0.1666,$11.6 m,70368171,$246.5 m
08/08/2024,$0.1545,$0.1682,$0.1517,$0.1680,$12.2 m,74926603,$242.8 m
08/07/2024,$0.1567,$0.1588,$0.1515,$0.1543,$13.4 m,86467246,$231.1 m
08/06/2024,$0.1526,$0.1608,$0.1526,$0.1563,$19.6 m,124308387,$235.6 m
